idx,sentence,label
,", flawless film , ( wang ) emerges in the front ranks of china 's now numerous , world-renowned filmmakers . ",1
,watchable ,0
32560.0,even if the top-billed willis is not the most impressive player ,1
,terrific casting ,0
,use in the breathtakingly beautiful outer-space documentary space station 3d ,1
66782.0,"rarely , indeed almost never , is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema . ",1
9785.0,does n't mean it 's good enough for our girls ,0
,"but seriously , folks , it does n't work . ",1
62398.0,shrek ,1
34063.0,"lyne 's latest , the erotic thriller unfaithful , further demonstrates just how far his storytelling skills have eroded . ",0
66103.0,so lovely toward the end ,1
,an indisputably spooky film ,0
,an engrossing story about a horrifying historical event and the elements which contributed to it ,1
36018.0,go down as one of the all-time great apocalypse movies ,1
,'s always these rehashes to feed to the younger generations ,1
45588.0,"s1m0ne 's satire is not subtle , but it is effective ",1
19816.0,should see it as soon as possible . ' ,1
,intriguing twist ,1
16174.0,memorable and ,1
,"to kline 's superbly nuanced performance , that pondering ",1
15014.0,"a smart , provocative drama that does the nearly impossible ",1
,wild ride ,1
,be drawn in by the sympathetic characters ,1
,the affable maid ,1
,along looking for astute observations and coming up blank ,1
,as easy to be bored by as your abc 's ,1
,"in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity ",0
,real women have curves wears its empowerment on its sleeve but even ,1
,shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people . ,1
,even predictable remake ,0
,of tastelessness and gall ,1
,it 's a ripper of a yarn and i for one enjoyed the thrill of the chill ,1
9345.0,inspired ,1
,"comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case ",1
15906.0,reworks ,1
,"gosling creates a staggeringly compelling character , a young man whose sharp intellect is at the very root of his contradictory , self-hating , self-destructive ways . ",0
,a movie that accomplishes so much that one viewing ca n't possibly be enough ,1
31805.0,"the bottom line with nemesis is the same as it has been with all the films in the series : fans will undoubtedly enjoy it , and the uncommitted need n't waste their time on it . ",1
,peppered with witty dialogue and inventive moments . ,1
,neither revelatory nor truly edgy -- merely crassly flamboyant and comedically labored . ,1
,is rather pretentious ,1
,"to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device ",1
12592.0,", painful ",0
,exciting plot ,1
60795.0,disturbance or detached pleasure ,0
33785.0,"'s fallen under the sweet , melancholy spell of this unique director 's previous films ",1
,by a charm that 's conspicuously missing from the girls ' big-screen blowout ,1
33650.0,iben hjelje is entirely appealing as pumpkin ,1
33950.0,it washed out despite all of that ,0
,ordinary and obvious ,1
32769.0,to be distasteful to children and adults alike ,0
,"the re - enactments , however fascinating they may be as history , are too crude to serve the work especially well . ",1
,wears out its welcome as tryingly as the title character . ,1
,abject ,1
,it 's loud and boring ; watching it is like being trapped at a bad rock concert . ,1
,their recklessness ,1
,is nearly impossible to look at or understand ,1
,perfectly pitched ,0
,"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story . ' ",1
,'s mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo 's ) best work ,1
50144.0,come when various characters express their quirky inner selves ,1
,"lies considerable skill and determination , backed by sheer nerve ",1
51220.0,falling into the hollywood trap and ,0
58771.0,clue you in that something 's horribly wrong ,0
56754.0,in the dullest kiddie flicks ,0
14634.0,"a fascinating curiosity piece -- fascinating , ",1
35640.0,"sweet , melancholy spell ",1
,rude and crude humor ,1
,the urban landscapes are detailed down to the signs on the kiosks ,1
,"is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery . ",1
,"bad , bad , bad movie ",1
10938.0,after the most awful acts are committed ,0
,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted . ",1
,intense and effective ,1
56327.0,scope and ,1
48769.0,"not really a thriller so much as a movie for teens to laugh , groan and hiss at . ",0
17044.0,we do n't avert our eyes for a moment . ,1
22098.0,banal bore ,0
,seem downright hitchcockian ,1
23860.0,a little fleeing of its own ,0
41028.0,", but thanks to the gorgeous locales and exceptional lead performances ",1
,glides gracefully from male persona to female ,1
58810.0,this gorgeous film a must for everyone from junior scientists to grown-up fish lovers ,1
17332.0,chicanery and self-delusion ,0
33812.0,is his best film ,1
,steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology . ,1
,the cliché-riddled genre can offer ,1
,overbearing and over-the-top as the family ,0
55730.0,cross-dressing ,0
16743.0,drowns in a sea of visual and verbal clichés ,0
,"it 's a spectacular performance - ahem , we hope it 's only acting . ",1
,"there 's nothing like love to give a movie a b-12 shot , ",1
7241.0,with humor and poignancy ,1
,as funny nor ,0
,engrossing entertainment ,1
,is more timely now than ever ,1
,is great ,1
,directed action sequences and some of the worst dialogue in recent memory . ,1
,"under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely ",0
9948.0,"is most remarkable not because of its epic scope , but because of the startling intimacy ",1
,is a just a waste ,1
,... olivier assayas has fashioned an absorbing look at provincial bourgeois french society . ,0
21713.0,all-star salute ,1
,very good ( but not great ) ,1
33317.0,to be mildly amusing ,1
,"like the rugrats movies , the wild thornberrys movie does n't offer much more than the series , but ",1
,"the acting is amateurish , the cinematography is atrocious ",1
,enormously good ,1
12520.0,( seagal 's ) ,1
66234.0,"a different and emotionally reserved type of survival story -- a film less about refracting all of world war ii through the specific conditions of one man , and more about that man ",1
,a masterpiece -- ,0
35068.0,is about as necessary as a hole in the head ,0
,a wild ride ,1
,", the movie sinks into an abyss of clichés , depression and bad alternative music . ",0
,"the script , the gags , the characters are all direct-to-video stuff , and ",1
31650.0,"though there are many tense scenes in trapped , they prove more distressing than suspenseful . ",0
,"boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect . ",1
,"once one experiences mr. haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else . ",1
15737.0,guilt-trip ,0
,a chiller resolutely without chills . ,1
50615.0,"as you watch the movie , you 're too interested to care . ",1
,has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ,1
,"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",1
20227.0,coming apart at its seams ,0
,", indie trick ",0
,"a kind , unapologetic , sweetheart ",1
56554.0,very amusing ,1
,rambling ,1
33839.0,glumly mishandle the story 's promising premise of a physician who needs to heal himself . ,0
,"the diverse , marvelously twisted shapes history ",1
,be influenced chiefly by humanity 's greatest shame ,1
2321.0,kid-empowerment ,1
,", still manages at least a decent attempt at meaningful cinema ",0
,a romantic comedy ,1
5074.0,"yes , but also intriguing and honorable , ",1
49122.0,could as easily have been called ` under siege 3 : in alcatraz ' ... a cinematic corpse that never springs to life ,0
33435.0,squeeze a few laughs out of the material ,1
53631.0,"daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails . ",1
,"the wonderfully lush morvern callar is pure punk existentialism , ",1
,"are both superb , ",1
22303.0,a moving and weighty depiction of one family ,1
,"will surely be profane , politically ",1
7060.0,could hardly ask for more . ,1
,uncertainties ,1
13768.0,a screwed-up man who dared to mess with some powerful people ,0
,"the film grows as dull as its characters , about whose fate it is hard to care . ",1
,are easy to swallow thanks to remarkable performances by ferrera and ontiveros ,1
,if it were n't such a clever adaptation of the bard 's tragic play ,1
,are both excellent ,1
13054.0,"life affirming and heartbreaking , sweet without the decay factor , ",1
,"the huskies are beautiful , ",1
14296.0,an experience that is richer than anticipated ,1
6448.0,climactic ,1
22169.0,"a bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that french realism . ",1
54011.0,also rocks ,1
16519.0,"we do n't get williams ' usual tear and a smile , just sneers and bile , ",0
33097.0,of its title character ,1
491.0,moving and important ,1
